PARTY_TYPE,PARTY_NAME,CONTESTED,WON,FORFEITED,VOTES,TOTAL_VALID_VOTES,VOTE_SHARE_PCT,VALID_VOTES_IN_SEATS,VOTE_PCT_IN_SEATS
N,Bharatiya Janata Party,98,1,62,2129726,20232563,10.526229425308104,14154420,15.046367141853922
N,Bahujan Samaj Party,74,0,74,47638,20232563,0.2354521273454085,10671356,0.44640999700506667
N,Communist Party of India,25,19,0,1643878,20232563,8.124912301026816,3668580,44.80965387152522
N,Communist Party of India  (Marxist),84,58,0,5365472,20232563,26.518993169575207,12157773,44.13202977222884
N,Indian National Congress,87,22,0,4794793,20232563,23.69839649084498,12662156,37.86711362583118
N,Nationalist Congress Party,4,2,0,237408,20232563,1.1733955801842801,575336,41.26423515997608
O,All India Anna Dravida Munnetra Kazhagam,7,0,7,33440,20232563,0.16527812121479615,966950,3.458296706137856
O,Janata Dal  (United),7,0,1,296585,20232563,1.4658795329093997,1009162,29.38923582140429
O,Shivsena,16,0,16,4952,20232563,0.024475396419128905,2342622,0.21138706970223964
O,Samajwadi Party,9,0,9,5257,20232563,0.025982867321357163,1277872,0.4113870559805677
S,Indian Union Muslim League,23,18,0,1496864,20232563,7.3982915560426035,3294044,45.44153022849725
S,Janata Dal  (Secular),5,3,0,293274,20232563,1.4495148241970135,718517,40.81657079790736
S,Kerala Congress  (M),15,6,0,807718,20232563,3.9921684662491845,2084865,38.741980895645526
S,Revolutionary Socialist Party,5,0,0,216071,20232563,1.0679368698864302,695828,31.052357766574502
U,Akhila Kerala Trinamool Party,2,0,2,806,20232563,0.003983677203921223,296848,0.2715194308198135
U,Ambedkarite Party of India,5,0,5,1108,20232563,0.00547632052350461,727862,0.15222665835007188
U,Bharath Dharma Jana Sena,36,0,20,795797,20232563,3.933248595346027,5240784,15.184693740478524
U,Congress  (Secular),1,1,0,54347,20232563,0.2686115446668818,126219,43.057701296952125
U,Communist Marxist Party Kerala State Committee,2,1,0,120158,20232563,0.5938842251473528,289111,41.561199677632466
U,Communist Party of India  (Marxist-Leninist)  (Liberation),1,0,1,116,20232563,0.0005733331956015656,148317,0.07821085917325728
U,Communist Party of India (Marxist-Leninist) Red Star,18,0,18,5549,20232563,0.027426085365457653,2622901,0.21155964331097515
U,Indian Gandhiyan Party,3,0,3,782,20232563,0.003865056542762279,431669,0.18115732192953396
U,Indian National League,3,0,1,112261,20232563,0.5548530850985117,397850,28.21691592308659
U,Kerala Congress Secular,1,0,1,292,20232563,0.0014432180441004928,125793,0.23212738387668627
U,Kerala Congress (Skariah Thomas),1,0,0,31537,20232563,0.1558724912904015,127172,24.798697826565597
U,Kerala Congress,3,0,3,37108,20232563,0.18340731226192153,407800,9.099558607160372
U,Kerala Congress (B),1,1,0,74429,20232563,0.36786738289162874,142058,52.393388615917445
U,Kerala Congress  (Jacob),1,1,0,73770,20232563,0.364610257237306,161170,45.77154557299746
U,Kerala Janatha Party,3,0,3,1186,20232563,0.00586183767227118,405542,0.29244813114301355
U,Marxist Communist Party of India (United),1,0,1,200,20232563,0.0009885055096578719,160576,0.12455161418891988
U,National Secular Conference,2,1,0,130843,20232563,0.6466951320008246,297599,43.96620956387623
U,Peoples Democratic Party,60,0,60,47949,20232563,0.23698925341292648,8713187,0.5503038096163896
U,Peoples Green Party,1,0,1,485,20232563,0.0023971258609203393,161170,0.3009244896692933
U,Socialistic Democratic Party,1,0,1,564,20232563,0.0027875855372351986,134726,0.41862743642652495
U,SOCIAL DEMOCRATIC PARTY OF INDIA,88,0,88,123241,20232563,0.6091220375787288,12773963,0.9647828164211842
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),31,0,31,10858,20232563,0.053665964119325865,4449618,0.24402094741616023
U,Welfare Party Of India,41,0,41,61653,20232563,0.3047216509346839,5917552,1.0418666367443834
Z,Independent,438,6,424,1067203,20232563,5.274680227117049,19153835,5.571745814872061
Z1,None of the Above,140,0,140,107245,20232563,0.5300613669162924,20232718,0.5300573061908934
